Rank,School,Town,Type,A-level(%A*),A-level(% A*/A),A-level(%A*/B),A-level_rank,GCSE_(%9/8/7),GCSE_rank,FINAL URL ,corrected name,KS2ASS,ATT8SCR
80,Heckmondwike Grammar School,Heckmondwike,Selective (100%),16.8,42.5,68.5,152,78.4,31,136283,Heckmondwike Grammar School,114.2,78.1
13,Tiffin School,Kingston upon Thames,Selective (100%),31.2,71.2,92.6,5,78.1,32,136910,Tiffin School,115,79.2
14,Dartford Grammar School,Dartford,Selective (100%),25.4,70.7,91.9,8,77.9,33,136359,Dartford Grammar School,113.5,78.4
76,Denmark Road High School,Gloucester,Selective (100%),12.6,37.7,69.5,145,77.5,34,136666,Denmark Road High School,113.7,77
64,Woodford County High School,Woodford Green,Selective (100%),17,-,74,99,77,35,102852,Woodford County High School,114.8,78.3
38,Dr Challoner's High School,Little Chalfont,Selective (100%),23.2,53.7,82,49,76.9,36,137219,Dr Challoner's High School,113.4,78.2
23,Loreto Grammar School,Altrincham,Selective (100%),19.9,55.5,87.4,17,76.5,37,138464,Loreto Grammar School,113.4,76.3
44,Sir Thomas Rich's School,Gloucester,Selective (100%),18,50.3,79.9,56,76,38,136306,Sir Thomas Rich's School,113.7,76.9
36,King Edward VI Five Ways School,Birmingham,Selective (100%),0,57,84,36,76,38,137046,King Edward VI Five Ways School,114.9,77.1
74,King Edward VI Handsworth School,Birmingham,Selective (100%),10.3,38.1,71,126,75.9,40,137047,King Edward VI Handsworth School,114.3,77.3
32,Friends' School Lisburn,Lisburn,Selective (100%),21.5,52.9,85.1,28,75.5,41,999999,not an English school,#N/A,#N/A
31,Langley Grammar School,Langley,Selective (100%),27,59.9,85.5,26,75.1,42,136521,Langley Grammar School,114.4,76.7
29,Chesham Grammar School,Chesham,Selective (100%),19.6,55,86.1,23,75.1,42,137091,Chesham Grammar School,113.8,76.7
65,Sullivan Upper School,Holywood,Selective (100%),11.3,46.5,74.5,93=,75.1,42,999999,not an English school,#N/A,#N/A
40,Westcliff High School for Boys,Westcliff-on-Sea,Selective (100%),22,57.2,83,41=,74.9,45,136272,Westcliff High School for Boys Academy,113.8,77.3
33,Dr Challoner's Grammar School,Amersham,Selective (100%),27.7,61.8,85.4,27,74.6,46,136419,Dr Challoner's Grammar School,112.6,77.5
141,Ilford County High School,Ilford,Selective (100%),7.3,30.8,59.3,265,74.4,47,102850,Ilford County High School,114.1,77.4
26,Dame Alice Owen's School,Potters Bar,Partially selective (37.5%),29.4,63.3,87,18,74.3,48,136554,Dame Alice Owen's School,112.4,73.5
58,Southend High School for Girls,Southend-on-Sea,Selective (100%),9.9,38.5,76.5,73,74.1,49,136444,Southend High School for Girls,114,75.8
62,Lawrence Sheriff School,Rugby,Selective (100%),14.3,47.2,76.1,80,73.7,50,141277,Lawrence Sheriff School,113.8,77.1
27,Wallington County Grammar School,Wallington,Selective (100%),24.9,62.9,86.9,19,73.7,50,136798,Wallington County Grammar School,113.9,77.7
68,Stroud High School,Stroud,Selective (100%),12,41.8,73.8,105,73.5,52,136874,Stroud High School,113.1,74.9
71,Chislehurst and Sidcup Grammar School,Sidcup,Selective (100%),14.2,41.8,72.8,118,73.4,53,137423,Chislehurst and Sidcup Grammar School,113.9,76
122,Upton Court Grammar School,Slough,Selective (100%),13.9,36.9,62.4,226,73.3,54,136420,Upton Court Grammar School,114.5,77.6
