Rank,School,Town,Type,A-level(%A*),A-level(% A*/A),A-level(%A*/B),A-level_rank,GCSE_(%9/8/7),GCSE_rank,FINAL URL ,corrected name,KS2ASS,ATT8SCR
180,Didcot Girls' School,Didcot,Comprehensive,11.1,33.3,67.8,160,43,202,138490,Didcot Girls' School,106,58.8
186,Prendergast School,London,Partially selective (10%),-,35,67,171,43,202,150319,Prendergast School,0,0
236,Clapton Girls' Academy,London,Comprehensive,-,31,60,254,43,202,137442,Clapton Girls' Academy,105.9,57.8
202,Olchfa School,Swansea,Comprehensive,-,-,65,194=,43,202,999999,not an English school,#N/A,#N/A
178,Kings Norton Girls' School and Sixth Form,Birmingham,Comprehensive,-,36,68,156,43,202,136590,Kings Norton Girls' School,106.6,57.8
194,Northampton School for Boys,Northampton,Partially selective (10%),12.3,37.5,66.1,180,42.9,207,136299,Northampton School for Boys,107.1,61.6
190,"The King's (The Cathedral) School, Peterborough",Peterborough,Partially selective (10%),12.9,37,66.3,178=,42.9,207,136398,The King's (The Cathedral) School,108.1,61.9
251,The Cherwell School,Oxford,Comprehensive,13.7,33.1,58.3,278,42.5,209,137970,The Cherwell School,105.4,58.3
155,Durham Johnston Comprehensive School,Durham,Comprehensive,20.6,42.6,73.1,113,42.2,210,114312,Durham Johnston Comprehensive School,108.2,56.7
181,Sir John Lawes School,Harpenden,Comprehensive,16.8,40.8,68.3,154,41.8,211,137270,Sir John Lawes School,107.9,62.4
223,"Queen Elizabeth's Grammar School, Faversham",Faversham,Selective (100%),11.2,30,61.8,232=,41.8,211,136570,Queen Elizabeth's Grammar School,111.4,63.2
174,Silverdale School,Sheffield,Comprehensive,12.2,40.6,69.3,148,41.7,213,139167,Silverdale School,106.7,57.9
128,The London Oratory School,London,Comprehensive,18.8,46.6,77.8,66,41.6,214,137157,The London Oratory School,108.9,62.5
215,Lymm High School,Lymm,Comprehensive,12.7,34.2,63.6,212,41.4,215,138732,Lymm High School,107.5,60.1
200,Tunbridge Wells Grammar School for Boys,Tunbridge Wells,Selective (100%),-,35.5,66.1,180,41.3,216,118790,Tunbridge Wells Grammar School for Boys,110.2,64.2
263,Wirral Grammar School for Boys,Bebington,Selective (100%),-,-,56.6,303,41.3,216,137476,Wirral Grammar School for Boys,111.4,65.7
183,"Emmanuel College, Tyne and Wear",Gateshead,Partially selective (10%),7.8,34.1,68.5,152=,41.2,218,999999,not an English school,#N/A,#N/A
153,Hockerill Anglo-European College,Bishop's Stortford,Partially selective (10%),18,45.9,73.8,105,41.1,219,136482,Hockerill Anglo-European College,109,60.7
209,Bartholomew School,Witney,Comprehensive,12.7,39.1,65,194,41,220,137919,Bartholomew School,105.9,57.2
176,Cheadle Hulme High School,Stockport,Comprehensive,13.8,44.7,69.7,141=,40.5,221,137843,Cheadle Hulme High School,106.3,59.6
297,Oakwood Park Grammar School,Maidstone,Selective (100%),-,-,53,331,40.2,222,136727,Oakwood Park Grammar School,109.8,64.9
223,Tapton School,Sheffield,Comprehensive,13.8,37.1,62.7,219,40.1,223,138069,Tapton School,107.1,58.4
314,Chestnut Grove Academy,London,Partially selective (28%),7.9,24.2,50.8,350,40,224,136883,Chestnut Grove Academy,107.5,57
379,Tolworth Girls' School and Sixth Form,Surbiton,Comprehensive,-,-,40,396,40,224,137060,Tolworth Girls' School and Sixth Form,106,58.8
160,Lurgan College,Craigavon,Selective (100%),-,-,72.7,119,40,224,999999,not an English school,#N/A,#N/A
364,Old Swinford Hospital,Stourbridge,Partially selective (35%),4.7,15.8,42.6,390,39.8,227,103870,Old Swinford Hospital,107.5,58.5
212,Bishop's Hatfield Girls' School,Hatfield,Comprehensive,10,33.8,65.1,193,39.6,228,137757,Bishop's Hatfield Girls' School,107.3,56.7
211,Rainham Mark Grammar School,Gillingham,Selective (100%),13,37.4,65.3,191,39.6,228,136864,Rainham Mark Grammar School,110.8,63.2
172,Fulford School,York,Comprehensive,20.6,45.6,70.6,132,39.6,228,144711,Fulford School,107.6,58.9
179,St Albans Girls' School,St Albans,Comprehensive,17.1,38.6,69.6,143,39.5,231,137339,St Albans Girls' School,106.4,56.5
275,"Queen Elizabeth's High School, Gainsborough",Gainsborough,Selective (100%),6,28.2,56.5,304,39.2,232,120655,"The Queen Elizabeth's High School, Gainsborough",110.4,62.4
303,Borden Grammar School,Sittingbourne,Selective (100%),-,-,53,331,39,233,137800,Borden Grammar School,110.8,63.1
353,"Queen Elizabeth's Girls' School, Barnet",London,Comprehensive,5.1,16.7,44.4,382=,39,233,137131,"Queen Elizabeth's Girls' School, Barnet",106.6,59.3
272,Monk's Walk School,Welwyn Garden City,Comprehensive,6.1,26.5,56.9,297,38.8,235,138632,Monk's Walk School,105.1,50.4
233,William Perkin CofE High School,London,Partially selective (10%),7.3,28.9,62.5,223=,38.8,235,139725,William Perkin Church of England High School,106.1,59
361,Hautlieu School,St Saviour,Comprehensive,-,19.6,43.6,388,38.6,237,999999,not an English school,#N/A,#N/A
359,Brentwood Ursuline Convent High School,Brentwood,Partially selective (10%),4.1,21.1,44,386,38.4,238,138834,Brentwood Ursuline Convent High School,107.6,62.7
181,The Elms Academy,London,Comprehensive,9,36,70,136,38.4,238,134815,The Elms Academy,103.5,53.6
338,The Belvedere Academy,Liverpool,Partially selective (10%),8.1,22.2,48.5,361,38.4,238,135174,The Belvedere Academy,108.5,57.1
199,Glenlola Collegiate School,Bangor,Selective (100%),6.3,28.7,67.7,163,38.3,241,999999,not an English school,#N/A,#N/A
280,Charters School,Ascot,Comprehensive,7.5,25.8,56.3,306,38.1,242,138823,Charters School,107,54.5
184,Beaumont School,St Albans,Comprehensive,-,39,70,136,38,243,138286,Beaumont School,105.8,59
320,Comberton Village College,Cambridge,Comprehensive,4.4,23.3,51.1,346,38,243,136463,Comberton Village College,106.7,55.6
256,Bristol Free School,Bristol,Comprehensive,7,-,59.8,259,37.9,245,136822,Bristol Free School,107.9,58
282,Harrogate Grammar School,Harrogate,Comprehensive,13,29.5,56.3,306,37.9,245,136497,Harrogate Grammar School,107,56.1
253,Howard of Effingham School,Leatherhead,Comprehensive,12.2,33.1,60.2,249,37.8,247,136833,Howard of Effingham School,108.1,57.9
269,Wren Academy Finchley,London,Comprehensive,-,-,57.6,291,37.8,247,135507,Wren Academy Finchley,106.9,60.7
385,The Green School for Girls,London,Comprehensive,3.9,20,40,396=,37.8,247,139989,The Green School for Girls,106.9,57.7
302,Kings Priory School,North Shields,Partially selective (10%),-,-,53.8,327,37.7,250,139658,Kings Priory School,107.3,61.1
242,St Angela's Ursuline School,London,Comprehensive,4.7,23.9,62.2,228,37.4,251,102786,St Angela's Ursuline School,107.9,57
227,Saffron Walden County High School,Saffron Walden,Comprehensive,11.1,33.9,63.8,211,37.3,252,136776,Saffron Walden County High School,107.6,56.7
195,Arden Academy,Solihull,Comprehensive,13.4,41,68.8,151,37.3,252,136333,Arden,106.8,57.7
249,Hitchin Girls' School,Hitchin,Comprehensive,8,29.3,61.2,238,37.2,254,137288,Hitchin Girls' School,107,57.8
164,Bohunt School,Liphook,Comprehensive,17.1,41.9,73.3,111,37.2,254,136643,Bohunt School,107.6,58.1
248,Kenilworth School,Kenilworth,Comprehensive,10.1,31.9,61.4,236=,37.1,256,146697,Kenilworth School and Sixth Form,105.8,54.7
344,Newlands Girls' School,Maidenhead,Comprehensive,-,-,48.5,361,37,257,142357,Newlands Girls' School,106.8,58.8
279,The Holy Cross School,New Malden,Comprehensive,8.8,26.9,56.9,297,37,257,138459,The Holy Cross School,105.7,58.5
239,Kensington Aldridge Academy,London,Partially selective (10%),6.8,32.6,62.6,222,36.9,259,140212,Kensington Aldridge Academy,107.9,55.4
351,The Becket School,Nottingham,Comprehensive,6.2,26.8,47.2,371,36.2,260,137409,The Becket School,107.2,56.9
163,Paddington Academy,London,Comprehensive,-,38,74,99,36,261,130912,Paddington Academy,106.2,58
230,Ilkley Grammar School,Ilkley,Comprehensive,12,34.2,64.5,204,36,261,136905,Ilkley Grammar School,106.6,56.4
325,Gravesend Grammar School,Gravesend,Selective (100%),6.4,24,51.7,343,36,261,137099,Gravesend Grammar School,111.1,63.2
336,"Loreto College, St Albans",St Albans,Comprehensive,-,21,50,353=,36,261,138106,Loreto College,106.9,59.4
277,Beechen Cliff School,Bath,Partially selective (7%),7.6,29.1,57.9,287,35.9,265,146972,Beechen Cliff School,107.4,57.1
347,"St Joseph's College, Stoke-on-Trent",Stoke-on-Trent,Selective (100%),7.4,24.3,48.5,361=,35.8,266,136460,St Joseph's College,108.2,62
250,Nower Hill High School,London,Comprehensive,8.8,32.2,62,229=,35.6,267,137028,Nower Hill High School,106.7,58.3
294,Presdales School,Ware,Comprehensive,8.8,26.7,55.7,314,35.2,268,137985,Presdales School,107.6,58.8
343,The St John Henry Newman RC School,Stevenage,Comprehensive,-,-,49.5,356=,35.1,269,137895,The Saint John Henry Newman Catholic School,105.7,56.8
318,George Abbot School,Guildford,Comprehensive,11,31,53,331,35,270,136906,George Abbot School,106.6,56.6
262,Wimbledon College,London,Comprehensive,6.4,27.9,59.9,257,35,270,102681,Wimbledon College,105.3,56.8
227,Holyport College,Holyport,Comprehensive,-,42,65,194,35,270,139971,Holyport College,104.9,55.3
244,Central Foundation Boys' School,London,Comprehensive,-,31,63,216,35,270,100458,Central Foundation Boys' School,105.7,54.9
287,"The King David High School, Manchester",Manchester,Comprehensive,-,-,57.3,292=,35,270,137309,The King David High School,107.5,57.8
260,The Coopers' Company and Coborn School,Upminster,Partially selective (10%),6.6,28.3,60.1,252,34.7,275,136600,The Coopers' Company and Coborn School,108.5,59.8
313,St Paul's RC College,Burgess Hill,Comprehensive,8.8,23.4,53.6,330,34.6,276,148753,St Paul's Catholic College,106.8,56.8
278,The Ecclesbourne School,Belper,Comprehensive,10.3,27.9,58.3,278,34.5,277,136505,The Ecclesbourne School,107.7,57.2
273,St Aidan's CofE High School,Harrogate,Comprehensive,10.9,31.5,59,267=,34.5,277,137139,St Aidan's Church of England High School,106.1,57.9
254,Rickmansworth School,Rickmansworth,Partially selective (35%),13.1,34.7,61.8,232,34.4,279,136606,Rickmansworth School,108.5,58
247,Outwood Academy Easingwold,York,Comprehensive,10.5,32.3,62.9,218,34.4,279,144976,Outwood Academy Easingwold,104.4,51.8
218,Wellington School,Altrincham,Comprehensive,7.1,29.6,66.3,178,34.3,281,136377,Wellington School,106.6,56.3
264,All Hallows RC School,Farnham,Comprehensive,15,37.7,60,254=,34.3,281,151190,All Hallows Catholic School,0,0
169,The Cotswold School,Bourton-on-the-Water,Comprehensive,11.9,41.5,73.9,102=,34.2,283,136292,The Cotswold Academy,106,55.2
218,Katharine Lady Berkeley's School,Wotton-under-Edge,Comprehensive,15.4,37.6,66.4,176,34.1,284,137033,Katharine Lady Berkeley's School,106.9,55.5
305,"Sacred Heart RC High School, Newcastle",Newcastle upon Tyne,Partially selective (10%),13.1,30.8,55,317=,33.9,285,137708,Sacred Heart Catholic High School,106.7,56.9
213,Ponteland High School,Newcastle upon Tyne,Comprehensive,10.7,38,67.8,160=,33.7,286,145783,Ponteland High School,108.4,56
287,Cardinal Newman RC School,Hove,Comprehensive,9,30.5,58.1,281=,33.4,287,114611,Cardinal Newman Catholic School,105.7,54.4
235,"St Mary's RC High School, Chesterfield",Chesterfield,Comprehensive,12.3,33.9,64.9,198=,33.4,287,138470,"St Mary's Catholic High School, A Catholic Voluntary Academy",107,56.6
309,Coloma Convent Girls' School,Croydon,Comprehensive,5.4,26.4,54.8,321,33.3,289,149347,Coloma Convent Girls' School,107.3,56.7
291,St Mary's Menston,Leeds,Comprehensive,9.4,31.6,57.8,288=,33.2,290,139351,"St. Mary's Menston, a Catholic Voluntary Academy",107.2,56.5
388,De Lisle College,Loughborough,Comprehensive,8.6,22.2,40.9,395,33.1,291,138298,De Lisle College Loughborough Leicestershire,104.9,54.1
328,Ruislip High School,London,Comprehensive,-,-,53,331=,33,292,140748,Ruislip High School,105.1,54.1
150,"St Mary's College, Hull",Hull,Comprehensive,9.9,31.6,78.1,63=,33,292,144104,"St Mary's College, Voluntary Catholic Academy",105.4,54.2
267,"Queen Elizabeth High School, Hexham",Hexham,Comprehensive,12.7,36,60.4,248,32.6,294,143291,Queen Elizabeth High School,106.9,54.2
384,The Priory Academy LSST,Lincoln,Comprehensive,0,0,43,389,32.5,295,135565,The Priory Academy LSST,107.7,55
271,Hanley Castle High School,Worcester,Comprehensive,8.9,28,60.2,249,32.3,296,137101,Hanley Castle High School,105.3,50.9
285,Reach Academy Feltham,London,Comprehensive,14.4,41.2,58.8,273=,32.3,296,138266,Reach Academy Feltham,104.1,54.4
234,"All Saints RC School, York",York,Comprehensive,8.1,33.8,65.7,190,32.2,298,149517,All Saints Catholic School York,105.8,54.4
274,Formby High School,Liverpool,Comprehensive,8.4,34.7,60.2,249,31.8,299,137436,Formby High School,105.9,54.4
377,Trinity RC High School,Woodford Green,Comprehensive,8.1,24.2,44.3,384,31.8,299,102860,Trinity Catholic High School,107.7,56.4
348,Anglo European School,Ingatestone,Comprehensive,-,-,50,353,31.2,301,137727,Anglo European School,108.4,56
300,Bishop Vaughan RC School,Swansea,Comprehensive,11.9,37.1,57.3,292=,31.2,301,999999,not an English school,#N/A,#N/A
331,Christ's College Finchley,London,Comprehensive,8.1,18.7,53.7,328,31,303,137388,Christ's College Finchley,105.2,55.2
221,Ysgol Gyfun Gymraeg Bro Myrddin,Carmarthen,Comprehensive,12.3,39.3,67.9,157=,31,303,999999,not an English school,#N/A,#N/A
227,Alderbrook School and Sixth Form,Solihull,Comprehensive,-,37,67,171=,31,303,136994,Alderbrook School,105.1,53.9
293,St Philomena's RC High School for Girls,Carshalton,Comprehensive,-,23,58,283=,31,303,103013,St Philomena's Catholic High School for Girls,106.4,57.7
167,Yavneh College,Borehamwood,Comprehensive,14.8,44.4,76.3,74,30.9,307,136922,Yavneh College,107,61.7
170,Ralph Allen School,Bath,Partially selective (2%),29.6,48,75.2,86,30.8,308,138522,Ralph Allen School,106.3,53.8
237,Sherburn High School,Leeds,Comprehensive,8.7,38.8,66,184,30.7,309,145819,Sherburn High School,104.4,51.3
391,St Gregory's RC College,Bath,Partially selective (9%),7.9,18.9,41.3,393,30.6,310,109329,Saint Gregory's Catholic College,104.4,51
341,Whitley Bay High School,Whitley Bay,Comprehensive,8.4,26.3,52.1,338,30.5,311,108638,Whitley Bay High School,107.6,56.3
320,Malmesbury School,Malmesbury,Comprehensive,-,-,55,317,30.2,312,137308,Malmesbury School,105.3,51.8
310,Alperton Community School,London,Comprehensive,7.8,28.4,56,308=,30.2,312,138610,Alperton Community School,102.8,51.9
366,Highdown School and Sixth Form Centre,Reading,Comprehensive,6.7,20.4,47.1,372,30.1,314,136307,Highdown School and Sixth Form Centre,106.4,53.5
289,Eltham Hill School,London,Comprehensive,-,29.9,59.7,261,30,315,100182,Eltham Hill School,106,52.5
373,Carre's Grammar School,Sleaford,Selective (100%),8.7,22.1,45.5,379,30,315,137213,Carre's Grammar School,109.6,57.2
311,Chipping Norton School,Chipping Norton,Comprehensive,-,30,56,308,30,315,137936,Chipping Norton School,105.9,52.9
323,Langley Park School for Boys,Beckenham,Comprehensive,7.7,26.6,55,317,30,315,136586,Langley Park School for Boys,107.3,56
295,Becket Keys CofE School,Brentwood,Comprehensive,4.5,26.7,58.2,280,30,315,138239,Becket Keys Church of England Free School,106.4,54.4
276,Highlands School and Sixth Form,London,Comprehensive,11.4,31.3,61.1,239=,29.8,320,132256,Highlands School,106.3,54.8
362,Bishop Challoner RC College,Birmingham,Comprehensive,3.9,17.7,47.9,368,29.8,320,103560,Bishop Challoner Catholic College,106.6,53.1
345,St John's Marlborough,Marlborough,Comprehensive,10.3,28.5,51.7,343,29.7,322,138623,St John's Marlborough,106.2,53.4
268,Edgbarrow School,Crowthorne,Comprehensive,-,35,62,229,29.1,323,145244,Edgbarrow School,106.1,54
328,Woodbridge High School,Woodford Green,Comprehensive,-,26,55,317,29,324,102854,Woodbridge High School,106.6,54.5
349,Rutlish School,London,Comprehensive,-,24,51,348,29,324,102679,Rutlish School,105.3,55.2
266,Littleover Community School,Derby,Comprehensive,8.8,32.9,62.5,223,28.9,326,112956,Littleover Community School,105.7,53.8
256,The Broxbourne School,Broxbourne,Partially selective (10%),12.3,32.7,64.3,206,28.9,326,136396,The Broxbourne School,107.9,54.7
319,"Queens' School, Bushey",Bushey,Partially selective (45%),8.5,26.7,56,308=,28.9,326,136877,Queens' School,106.6,53.5
240,Horsforth School,Leeds,Comprehensive,14.8,38.7,66.7,175,28.7,329,137775,Horsforth School,106.9,55.8
378,The Bishop's Stortford High School,Bishop's Stortford,Partially selective (10%),5.8,20.7,45.7,377,28.7,329,117577,The Bishop's Stortford High School,107.8,56.1
360,Oakgrove School,Milton Keynes,Comprehensive,-,-,49,359,28.3,331,136454,Oakgrove School,106.4,52.5
380,Chancellor's School,Hatfield,Partially selective (10%),5.4,18.6,45.7,377,28.3,331,147246,Chancellor's School,105.5,52.9
322,Sydenham School,London,Comprehensive,-,29,56,308,28,333,100741,Sydenham School,105.9,49.7
315,Landau Forte College Derby,Derby,Comprehensive,7.7,33.1,56.7,300=,28,333,135120,Landau Forte College,105.7,54.1
299,Higham Lane School,Nuneaton,Comprehensive,6.8,28.3,59,267,27.9,335,137767,Higham Lane School,105.1,54
324,Ringwood School,Ringwood,Comprehensive,9.5,24.9,55.8,313,27.8,336,136657,Ringwood School Academy,106.2,53.7
330,Egglescliffe School,Stockton-on-Tees,Comprehensive,-,-,55.6,315,27.6,337,143063,Egglescliffe School,108,54.7
381,St Bede's RC College,Bristol,Comprehensive,5.5,18.7,46,375,27.5,338,137627,St Bede's Catholic College,106.9,55.6
386,Guru Nanak Sikh Academy,London,Comprehensive,6.5,21.8,45.1,380,27.2,339,136329,Guru Nanak Sikh Academy,106.2,53.6
301,"The King Edward VI School, Morpeth",Morpeth,Comprehensive,-,-,59.3,265=,27,340,137746,The King Edward VI School,106.1,51.2
394,St Anthony's Girls' RC Academy,Sunderland,Comprehensive,6.7,16.1,41.6,392,27,340,138054,St Anthony's Girls' Catholic Academy,107.7,54.2
342,East Barnet School,London,Comprehensive,6.1,27.7,53.7,328=,27,340,136658,East Barnet School,106.3,51.9
335,Upton-by-Chester High School,Chester,Comprehensive,7.8,26.1,55.2,316,26.7,343,111422,Upton-by-Chester High School,105.3,52.3
296,The Downs School,Newbury,Comprehensive,13.9,30.9,59.9,257,26.7,343,110102,The Downs School,105.8,52.6
367,Highams Park School,London,Comprehensive,2.6,17.7,48.7,360,26.6,345,137558,Highams Park School,105.6,50
244,Heathside School,Weybridge,Comprehensive,12.7,38.9,67.3,168,26.5,346,142314,Heathside School,107,56.2
305,Blue Coat CofE School and Music College,Coventry,Comprehensive,-,-,58.9,272,26.2,347,137272,Blue Coat Church of England School and Music College,105.8,52.1
290,Cheney School,Oxford,Comprehensive,11.4,33.3,61.4,236,26.1,348,139146,Cheney School,103.2,46.9
390,The Bridge Academy,London,Comprehensive,-,15,44,386,26,349,131609,The Bridge Academy,106.4,54.3
189,Archbishop Holgate's School,York,Comprehensive,13.7,41.5,74.8,92,25.9,350,136617,"Archbishop Holgate's School, A Church of England Academy",105,50.1
357,Kingsbridge Community College,Kingsbridge,Comprehensive,8.5,25.3,50.5,352,25.5,351,136367,Kingsbridge Academy,106.6,48.4
368,Kesgrave High School,Ipswich,Comprehensive,6.5,24.1,49.2,358,25.3,352,136969,Kesgrave High School,105.7,50.6
383,City of Norwich School,Norwich,Partially selective (10%),8.6,24.7,46.8,374,25.3,352,141269,"City of Norwich School, An Ormiston Academy",105.6,48.6
260,Hillcrest School and Sixth Form Centre,Birmingham,Comprehensive,5.4,23,64.9,198,25.2,354,137346,Hillcrest School and Sixth Form Centre,102.7,49.8
316,Carmel College,Darlington,Comprehensive,11.7,27.1,58.1,281,25.1,355,137622,Carmel College,105.9,53.6
286,Tytherington School,Macclesfield,Comprehensive,-,-,62.3,227,25.1,355,140791,Tytherington School,105.4,49.9
382,Blenheim High School,Epsom,Comprehensive,-,25,47,373,25,357,137906,Blenheim High School,104.4,49.2
334,"Cotham School, Bristol",Bristol,Comprehensive,-,-,56.4,305,25,357,137440,Cotham School,103.5,46.2
269,Uckfield College,Uckfield,Comprehensive,12,31,64,208=,25,357,114590,Uckfield  College,104.8,50
372,"The Castle School, Thornbury",Thornbury,Comprehensive,-,-,48,367,25,357,139348,The Castle School,104.3,50.6
374,Cheltenham Bournside School and Sixth Form Centre,Cheltenham,Comprehensive,-,-,48.2,366,24.4,361,136725,Cheltenham Bournside School and Sixth Form Centre,103.4,49.2
281,Ysgol Bro Preseli,Crymych,Comprehensive,16.4,40.5,63.1,215,24.3,362,999999,not an English school,#N/A,#N/A
375,The Nelson Thomlinson School,Wigton,Comprehensive,6.6,22.6,48.3,365,24.1,363,112397,The Nelson Thomlinson School,105,47
311,Southam College,Southam,Comprehensive,-,32,59,267,24,364,143905,Southam College,105.8,49.7
399,Haydon School,London,Comprehensive,-,19,39,399=,24,364,136519,Haydon School,106.3,49.3
258,Camborne Science and International Academy,Camborne,Comprehensive,19.7,41.3,66.1,180,23.8,366,136524,Camborne Science and International Academy,105.5,47.3
332,Hayes School,Bromley,Comprehensive,8.6,24.9,57.2,294,23.8,366,136644,Hayes School,106.9,52.9
254,Huntington School,York,Comprehensive,10.9,37.4,67.3,168,23.4,368,121673,Huntington School,104.9,48.9
265,Crickhowell High School,Crickhowell,Comprehensive,15.7,39.1,65.3,191=,23.4,368,999999,not an English school,#N/A,#N/A
339,The Minster School,Southwell,Comprehensive,7.7,24.1,56,308,23.3,370,145643,The Minster School,105.6,51.6
370,St Benedict's RC School,Bury St Edmunds,Comprehensive,13.1,26.3,49.7,355,23.1,371,149285,St Benedict's Catholic School,105.9,51.1
356,Guiseley School,Leeds,Comprehensive,-,29,52,339,23,372,108085,Guiseley School,105.8,49.4
308,The Emmbrook School,Wokingham,Comprehensive,11.5,32.1,60,254,23,372,148453,The Emmbrook School,104.3,48.3
352,Queens Park Community School,London,Comprehensive,-,25,53,331,22.9,374,138609,Queens Park Community School,106.3,49.8
362,St Anselm's College,Birkenhead,Selective (100%),6.6,25.8,51.3,345,22.9,374,136780,St Anselm's College,108.8,55.6
400,Lord Williams's School,Thame,Comprehensive,3.5,16,39,399,22.7,376,138667,Lord Williams's School,105.3,48.4
298,Ysgol Eirias,Colwyn Bay,Comprehensive,12.4,34,61.7,234,22.7,376,999999,not an English school,#N/A,#N/A
336,Llanidloes High School,Llanidloes,Comprehensive,10.3,32,56.7,300=,22.6,378,999999,not an English school,#N/A,#N/A
333,Norton Hill School,Radstock,Comprehensive,-,-,57.7,290,22.6,378,136335,Norton Hill Academy,106.4,52.2
389,Beverley High School,Beverley,Comprehensive,11.8,26.4,45.8,376,22.5,380,118072,Beverley High School,105.1,49.1
397,The Burgate School and Sixth Form,Fordingbridge,Comprehensive,4.3,14.6,39.9,398,22.5,380,136719,The Burgate School and Sixth Form,106.9,52.8
396,Brookfield Community School,Chesterfield,Comprehensive,3.4,20.2,41.1,394,22.4,382,136548,Brookfield Community School,105.3,52.2
393,The Willink School,Reading,Comprehensive,7.4,22.5,44.1,385,22.3,383,110048,The Willink School,105.5,49.1
357,Chew Valley School,Bristol,Comprehensive,-,-,52.2,337,22.2,384,145482,Chew Valley School,105.7,47.8
395,Wellsway School,Bristol,Comprehensive,6.9,22.1,42.2,391,22.2,384,137523,Wellsway School,105.3,51.8
392,St Augustine's RC High School,Redditch,Comprehensive,-,-,44.4,382=,22.2,384,141063,St Augustine's Catholic High School,104.7,50.3
327,Sandbach High School and Sixth Form College,Sandbach,Comprehensive,7.7,30.1,58.5,277,22.1,387,136340,Sandbach High School and Sixth Form College,104.8,52.6
369,Lord Lawson of Beamish Academy,Birtley,Comprehensive,4.3,18.6,51,348=,21.5,388,137942,Lord Lawson of Beamish Academy,105.3,45.1
326,Kings Academy,Cheddar,Comprehensive,8,20.2,59,267=,21.2,389,136783,The Kings of Wessex Academy,104.2,49.6
350,Collingwood College,Camberley,Comprehensive,12.1,28.7,54.8,321,21.1,390,136828,Collingwood College,104.8,47.9
387,University of Birmingham School,Birmingham,Comprehensive,7.1,22.6,47.6,370,21.1,390,140863,The University of Birmingham School,104.8,47.1
259,Nailsea School,Bristol,Comprehensive,-,40,67,171,21,392,138466,Nailsea School,104.8,49.3
340,Keswick School,Keswick,Comprehensive,9.8,29,57.2,294,20.7,393,136902,Keswick School,106.2,54.1
365,Conyers School,Stockton-on-Tees,Comprehensive,3.9,26,51.9,342,20.7,393,139318,Conyers School,105.8,48
371,St John Payne RC School,Chelmsford,Comprehensive,2.4,18.9,50.7,351,20.6,395,115238,"St John Payne Catholic School, Chelmsford",105.6,49.9
354,Richmond School and Sixth Form College,Richmond,Comprehensive,6.5,27.8,54.2,325=,19.3,396,145090,Richmond School,104.4,47.8
346,Ark St Alban's Academy,Birmingham,Comprehensive,3.5,18.1,56.9,297,19.2,397,135970,Ark St Alban's Academy,102.3,46.4
355,Lytchett Minster School,Lytchett Minster,Comprehensive,8.7,26,54.5,324,18.3,398,113863,Lytchett Minster School,103.5,48.4
376,Plymstock School,Plymouth,Comprehensive,3.3,21.8,52,339,16.5,399,136568,Plymstock School,104.1,46.1
398,"The Duchess's Community High School, Alnwick",Alnwick,Comprehensive,-,-,44.9,381,12.4,400,150196,The Duchess's Community High School,0,0
