Score,Home
74,Buckinghamshire
113,Buckinghamshire
79,Buckinghamshire
37,Buckinghamshire
84,Buckinghamshire
60,Buckinghamshire
31,Buckinghamshire
40,Buckinghamshire
37,Buckinghamshire
109,Buckinghamshire
34,Buckinghamshire
32,Buckinghamshire
81,Buckinghamshire
39,Out of county
126,Buckinghamshire
65,Buckinghamshire
46,Buckinghamshire
33,Buckinghamshire
41,Buckinghamshire
89,Buckinghamshire
33,Buckinghamshire
66,Buckinghamshire
95,Out of county
41,Buckinghamshire
120,Buckinghamshire
84,Buckinghamshire
36,Buckinghamshire
29,Buckinghamshire
122,Buckinghamshire
34,Buckinghamshire
76,Buckinghamshire
100,Buckinghamshire
71,Buckinghamshire
47,Buckinghamshire
37,Buckinghamshire
24,Buckinghamshire
63,Buckinghamshire
57,Buckinghamshire
81,Buckinghamshire
79,Buckinghamshire
50,Buckinghamshire
67,Buckinghamshire
75,Buckinghamshire
95,Buckinghamshire
30,Buckinghamshire
42,Out of county
70,Buckinghamshire
141,Buckinghamshire
61,Buckinghamshire
38,Buckinghamshire
139,Buckinghamshire
89,Buckinghamshire
56,Buckinghamshire
89,Buckinghamshire
48,Buckinghamshire
62,Buckinghamshire
71,Buckinghamshire
53,Buckinghamshire
87,Buckinghamshire
50,Buckinghamshire
27,Buckinghamshire
158,Buckinghamshire
80,Buckinghamshire
72,Buckinghamshire
18,Buckinghamshire
45,Buckinghamshire
111,Buckinghamshire
78,Buckinghamshire
45,Out of county
33,Buckinghamshire
110,Buckinghamshire
15,Buckinghamshire
27,Buckinghamshire
48,Buckinghamshire
72,Buckinghamshire
69,Buckinghamshire
79,Buckinghamshire
63,Buckinghamshire
95,Buckinghamshire
42,Buckinghamshire
65,Buckinghamshire
126,Buckinghamshire
34,Buckinghamshire
67,Buckinghamshire
43,Buckinghamshire
88,Buckinghamshire
105,Buckinghamshire
53,Buckinghamshire
79,Buckinghamshire
31,Buckinghamshire
89,Buckinghamshire
29,Buckinghamshire
45,Buckinghamshire
33,Buckinghamshire
19,Buckinghamshire
57,Buckinghamshire
40,Buckinghamshire
88,Buckinghamshire
52,Buckinghamshire
34,Buckinghamshire
33,Buckinghamshire
56,Buckinghamshire
92,Out of county
42,Buckinghamshire
31,Buckinghamshire
84,Buckinghamshire
61,Buckinghamshire
102,Buckinghamshire
71,Buckinghamshire
73,Buckinghamshire
63,Buckinghamshire
92,Buckinghamshire
81,Buckinghamshire
43,Buckinghamshire
74,Buckinghamshire
42,Buckinghamshire
116,Buckinghamshire
142,Buckinghamshire
65,Buckinghamshire
70,Buckinghamshire
94,Buckinghamshire
77,Buckinghamshire
73,Buckinghamshire
