year,record,primary_area,LA,STTS,grammar_req,EthCode,review
2017,253,!,Out,99,NotYes,MissingEthnicity,No
2017,254,!,Out,137,Y,AIN,AppendedBlankField
2017,255,!,Buckinghamshire,60,NotYes,WHB,AppendedBlankField
2017,256,!,Buckinghamshire,136,Y,WHB,AppendedBlankField
2017,257,!,Buckinghamshire,53,NotYes,WHB,AppendedBlankField
2017,258,!,Buckinghamshire,97,NotYes,WHB,AppendedBlankField
2017,259,!,Buckinghamshire,128,Y,WHB,AppendedBlankField
2017,260,!,Buckinghamshire,36,NotYes,WHB,AppendedBlankField
2017,261,!,Buckinghamshire,97,NotYes,WHB,AppendedBlankField
2017,262,!,Buckinghamshire,106,NotYes,WHB,AppendedBlankField
2017,263,!,Buckinghamshire,43,NotYes,WHB,AppendedBlankField
2017,264,!,Buckinghamshire,98,NotYes,WHB,AppendedBlankField
2017,265,!,Buckinghamshire,124,Y,WHB,AppendedBlankField
2017,266,!,Buckinghamshire,157,Y,WHB,AppendedBlankField
2017,267,!,Buckinghamshire,52,NotYes,MWB,AppendedBlankField
2017,268,!,Buckinghamshire,92,NotYes,WHB,AppendedBlankField
2017,269,!,Buckinghamshire,52,NotYes,WHB,AppendedBlankField
2017,270,!,Buckinghamshire,92,NotYes,WHB,AppendedBlankField
2017,271,!,Buckinghamshire,70,NotYes,WHB,AppendedBlankField
2017,272,!,Buckinghamshire,56,NotYes,MWA,AppendedBlankField
2017,273,!,Buckinghamshire,62,NotYes,MOT,AppendedBlankField
2017,274,!,Buckinghamshire,120,Y,WHB,Yes
2017,275,!,Buckinghamshire,147,Y,WHB,AppendedBlankField
2017,276,!,Buckinghamshire,135,Y,WHB,AppendedBlankField
2017,277,!,Buckinghamshire,148,Y,WHB,AppendedBlankField
2017,278,!,Buckinghamshire,83,NotYes,WHB,AppendedBlankField
2017,279,!,Buckinghamshire,50,NotYes,WHB,AppendedBlankField
2017,280,!,Buckinghamshire,71,NotYes,WHB,AppendedBlankField
2017,281,!,Buckinghamshire,57,NotYes,WHB,AppendedBlankField
2017,282,!,Buckinghamshire,23,NotYes,WHB,AppendedBlankField
2017,283,!,Buckinghamshire,42,NotYes,WHB,AppendedBlankField
2017,284,!,Buckinghamshire,77,NotYes,WHB,AppendedBlankField
2017,285,!,Buckinghamshire,95,NotYes,WHB,AppendedBlankField
2017,286,!,Buckinghamshire,61,NotYes,WHB,AppendedBlankField
2017,287,!,Buckinghamshire,61,NotYes,WHB,AppendedBlankField
2017,288,!,Buckinghamshire,116,NotYes,WHB,No
2017,289,!,Buckinghamshire,64,NotYes,WHB,AppendedBlankField
2017,290,!,Buckinghamshire,86,NotYes,WHB,AppendedBlankField
2017,291,!,Buckinghamshire,91,NotYes,WHB,AppendedBlankField
2017,292,!,Out,102,NotYes,WHB,AppendedBlankField
2017,293,!,Out,135,Y,AppendedBlankField,AppendedBlankField
2017,294,!,Out,69,NotYes,AppendedBlankField,AppendedBlankField
2017,295,!,Out,110,NotYes,WEN,AppendedBlankField
2017,296,!,Out,84,NotYes,WHB,AppendedBlankField
2017,297,!,Out,87,NotYes,WHB,AppendedBlankField
2017,298,!,Out,116,Y,CHE,Yes
2017,299,!,Out,144,Y,AIN,AppendedBlankField
2017,300,!,Buckinghamshire,31,NotYes,WHB,AppendedBlankField
2017,301,!,Buckinghamshire,57,NotYes,WHB,AppendedBlankField
2017,302,!,Out,68,NotYes,AppendedBlankField,AppendedBlankField
2017,303,!,Out,81,NotYes,AppendedBlankField,AppendedBlankField
2017,304,!,Out,141,Y,AppendedBlankField,AppendedBlankField
2017,305,!,Out,124,Y,AppendedBlankField,AppendedBlankField
2017,306,!,Out,112,NotYes,AppendedBlankField,AppendedBlankField
2017,307,!,Out,139,Y,AppendedBlankField,AppendedBlankField
2017,308,!,Out,151,Y,AppendedBlankField,AppendedBlankField
2017,309,!,Buckinghamshire,121,Y,WHB,AppendedBlankField
2017,310,!,Out,133,Y,WEN,AppendedBlankField
2017,311,!,Out,75,NotYes,AppendedBlankField,AppendedBlankField
2017,312,!,Out,160,Y,AppendedBlankField,AppendedBlankField
2017,313,!,Out,62,NotYes,ASR,AppendedBlankField
2017,314,!,Out,136,Y,AIN,AppendedBlankField
2017,315,!,Out,116,Y,WHB,Yes
2017,316,!,Out,73,NotYes,BLF,AppendedBlankField
2017,317,!,Out,111,NotYes,ASR,AppendedBlankField
2017,318,!,Out,140,Y,AIN,AppendedBlankField
2017,319,!,Out,120,Y,MissingEthnicity,Yes
2017,320,!,Buckinghamshire,97,NotYes,MWB,AppendedBlankField
2017,321,!,Buckinghamshire,146,Y,AppendedBlankField,AppendedBlankField
2017,322,!,Buckinghamshire,139,Y,WHB,AppendedBlankField
2017,323,!,Buckinghamshire,125,Y,AIN,AppendedBlankField
2017,324,!,Buckinghamshire,107,NotYes,AIN,No
2017,325,!,Buckinghamshire,118,Y,WHB,Yes
2017,326,!,Buckinghamshire,115,NotYes,AppendedBlankField,AppendedBlankField
2017,327,!,Buckinghamshire,117,Y,WHA,Yes
2017,328,!,Buckinghamshire,119,NotYes,MissingEthnicity,No
2017,329,!,Buckinghamshire,140,Y,WHB,AppendedBlankField
2017,330,!,Buckinghamshire,128,Y,WHB,AppendedBlankField
2017,331,!,Buckinghamshire,162,Y,AppendedBlankField,AppendedBlankField
2017,332,!,Buckinghamshire,137,Y,WHB,AppendedBlankField
2017,333,!,Buckinghamshire,139,Y,AppendedBlankField,AppendedBlankField
2017,334,!,Buckinghamshire,142,Y,AppendedBlankField,AppendedBlankField
2017,335,!,Buckinghamshire,123,Y,WHB,AppendedBlankField
2017,336,!,Buckinghamshire,142,Y,CHE,AppendedBlankField
2017,337,!,Buckinghamshire,144,Y,WHB,AppendedBlankField
2017,338,!,Buckinghamshire,138,Y,WHB,AppendedBlankField
2017,339,!,Buckinghamshire,117,NotYes,WHB,AppendedBlankField
2017,340,!,Buckinghamshire,160,Y,AppendedBlankField,AppendedBlankField
2017,341,!,Buckinghamshire,113,NotYes,WES,AppendedBlankField
2017,342,!,Buckinghamshire,100,NotYes,WHB,AppendedBlankField
2017,343,!,Buckinghamshire,120,Y,AIN,Yes
2017,344,!,Buckinghamshire,103,NotYes,WHB,AppendedBlankField
2017,345,!,Buckinghamshire,116,NotYes,MissingEthnicity,No
2017,346,!,Buckinghamshire,137,Y,AIN,AppendedBlankField
2017,347,!,Buckinghamshire,128,Y,WHB,AppendedBlankField
2017,348,!,Buckinghamshire,157,Y,WHA,AppendedBlankField
2017,349,!,Buckinghamshire,132,Y,AppendedBlankField,AppendedBlankField
2017,350,!,Buckinghamshire,130,Y,WHB,AppendedBlankField
2017,351,!,Buckinghamshire,127,Y,AppendedBlankField,AppendedBlankField
2017,352,!,Buckinghamshire,128,Y,WHB,AppendedBlankField
2017,353,!,Buckinghamshire,108,NotYes,AppendedBlankField,AppendedBlankField
2017,354,!,Buckinghamshire,123,Y,AppendedBlankField,AppendedBlankField
2017,355,!,Buckinghamshire,115,NotYes,WHB,No
2017,356,!,Buckinghamshire,123,Y,AppendedBlankField,AppendedBlankField
2017,357,!,Buckinghamshire,151,Y,WHB,AppendedBlankField
2017,358,!,Buckinghamshire,143,Y,WHB,AppendedBlankField
2017,359,!,Buckinghamshire,156,Y,WHB,AppendedBlankField
2017,360,!,Buckinghamshire,116,NotYes,AppendedBlankField,AppendedBlankField
2017,361,!,Buckinghamshire,79,NotYes,AppendedBlankField,AppendedBlankField
2017,362,!,Buckinghamshire,138,Y,WHB,AppendedBlankField
2017,363,!,Buckinghamshire,113,NotYes,WHB,No
2017,364,!,Buckinghamshire,107,NotYes,OEO,AppendedBlankField
